,names,descriptions
0,"

Appreciating Indian Music ","
      by Sharma,Aruna 
      Credit:  3.0

"
1,"

Appreciating Indian Music ","
      by Sharma,Aruna 
      Credit:  3.0

"
2,"

Appreciating Indian Music ","
      by Sharma,Aruna 
      Credit:  3.0

"
3,"

Appreciating Indian Music ","
      by Sharma,Aruna 
      Credit:  3.0

"
4,"

Intro to Civ of Indian Subcont ","
      by Sridhar,Shikaripur N 
      Credit:  3.0

"
5,"

Intro to Civ of Indian Subcont ","
      by Sridhar,Shikaripur N 
      Credit:  3.0

"
6,"

AAS Topics in Social Sciences ","
      by Ruf,Gregory A. 
      Credit:  3.0

"
7,"

AAS Topics in Social Sciences ","
      by Wang,Yi 
      Credit:  3.0

"
8,"

AAS Topics in Humanities ","
      by Wang,Yi 
      Credit:  3.0

"
9,"

AAS Topics in Humanities ","
      by Wang,Yi 
      Credit:  3.0

"
